Frequency,S11_Real,S11_Imaginary,
1758707000,-0.9640941405,0.01465008431,
1764706000,-0.9666160851,0.04499341539,
1770705000,-0.9629356756,0.07596453602,
1776704000,-0.9594716195,0.1062050195,
1782703000,-0.9568304749,0.137933983,
1788702000,-0.9513645046,0.1682313593,
1794701000,-0.9461580592,0.1973357105,
1800700000,-0.9340980968,0.2326926814,
1806699000,-0.9305561024,0.2592948668,
1812698000,-0.9214446538,0.2869991272,
1818697000,-0.9110284761,0.3163211954,
1824696000,-0.9022643509,0.3459111906,
1830695000,-0.8904944536,0.3743335139,
1836694000,-0.8787016905,0.40342904,
1842693000,-0.8655493509,0.4305382277,
1848692000,-0.8517903297,0.459655182,
1854691000,-0.8367931767,0.4854234731,
1860690000,-0.821514119,0.5124118964,
1866689000,-0.8048735829,0.5381827784,
1872688000,-0.7864797263,0.564257348,
1878687000,-0.7690661861,0.5884165251,
1884686000,-0.7499279294,0.6129902852,
1890685000,-0.7301704906,0.6383323519,
1896684000,-0.7096488819,0.6608996062,
1902683000,-0.6882783744,0.6822866557,
1908682000,-0.6660297035,0.7041965316,
1914681000,-0.6438447056,0.7255478759,
1920680000,-0.6199577558,0.7458792464,
1926679000,-0.5960286404,0.7651951133,
1932678000,-0.5716022793,0.7833122098,
1938677000,-0.5467847878,0.8022006533,
1944676000,-0.5216618809,0.8188870563,
1950675000,-0.4951635632,0.8355090564,
1956674000,-0.4686384426,0.8509972372,
1962673000,-0.4413940051,0.8655821202,
1968672000,-0.4136336638,0.8793015399,
1974671000,-0.385678475,0.8925372298,
1980670000,-0.3571957988,0.9047300126,
1986669000,-0.328434746,0.9154146661,
1992668000,-0.2998412719,0.9248732864,
1998667000,-0.2701681896,0.9342825916,
2004666000,-0.2407932997,0.9429597575,
2010665000,-0.2102741435,0.9496520245,
2016664000,-0.1810973479,0.9560253924,
2022663000,-0.1503377553,0.9609508749,
2028662000,-0.1199608569,0.9649403865,
2034661000,-0.0904490797,0.9686126659,
2040660000,-0.05847801886,0.9711759334,
2046659000,-0.02803503949,0.9723542135,
2052658000,0.003114383771,0.9732716635,
2058657000,0.03384520949,0.9718797862,
2064656000,0.06463252011,0.9704682551,
2070655000,0.09579402293,0.9675226151,
2076654000,0.1254801788,0.9650589343,
2082653000,0.1558725707,0.9607211677,
2088652000,0.1868491002,0.9554215834,
2094651000,0.216253564,0.9482459679,
2100650000,0.245953084,0.9413074938,
2106649000,0.2762693874,0.9327395297,
2112648000,0.3060535291,0.9232460316,
2118647000,0.3352757053,0.9122943099,
2124646000,0.3634765344,0.9003478331,
2130645000,0.3919634367,0.8889224249,
2136644000,0.4201680767,0.87607608,
2142643000,0.4467889336,0.8607146176,
2148642000,0.4743154504,0.846117977,
2154641000,0.5027194078,0.8300860487,
2160640000,0.5287715161,0.8130459403,
2166639000,0.5537280015,0.7966330321,
2172638000,0.5786701652,0.7780421833,
2178637000,0.6026020291,0.7596525049,
2184636000,0.6275418513,0.7389968285,
2190635000,0.6510464002,0.7186885458,
2196634000,0.6738718982,0.6974255556,
2202633000,0.6953128345,0.6757731467,
2208632000,0.7154663076,0.653764751,
2214631000,0.7361943786,0.6310731891,
2220630000,0.7556305266,0.607151549,
2226629000,0.7740966246,0.5820970407,
2232628000,0.7916797043,0.5565867182,
