Frequency,S11_Real,S11_Imaginary,
3336444000,-0.2234424062,-0.1910111361,
3342443000,-0.2798567506,-0.09106591144,
3348442000,-0.295965421,0.02279662888,
3354441000,-0.269651944,0.1339783296,
3360440000,-0.205376783,0.2269325845,
3366439000,-0.1132736164,0.2897980262,
3372438000,-0.005866276488,0.3156483395,
3378437000,0.1022843844,0.3013867789,
3384436000,0.1976824121,0.2514557418,
3390435000,0.2686870639,0.1714571337,
3396434000,0.3068380954,0.07242719576,
3402433000,0.3078106645,-0.03324537887,
3408432000,0.271739018,-0.1321329334,
3414431000,0.2029026674,-0.2120868637,
3420430000,0.1100221875,-0.2617369921,
3426429000,0.004879803537,-0.2746631171,
3432428000,-0.09812183414,-0.2494418731,
3438427000,-0.1850666982,-0.1875237387,
3444426000,-0.2435823837,-0.09783364376,
3450425000,-0.2651305047,0.00676613587,
3456424000,-0.246668101,0.112022806,
3462423000,-0.1915624084,0.2028889003,
3468422000,-0.1072036794,0.267205081,
3474421000,-0.005673184992,0.2970237612,
3480420000,0.09863216952,0.2889109311,
3486419000,0.1934526321,0.2445528395,
3492418000,0.2663441308,0.1698544274,
3498417000,0.3077920532,0.07436597125,
3504416000,0.3141735294,-0.02978139575,
3510415000,0.2837063667,-0.1299009447,
3516414000,0.2197036817,-0.2118390449,
3522413000,0.1308818588,-0.2674827494,
3528412000,0.02712995585,-0.2868628729,
3534411000,-0.07650548591,-0.2694127173,
3540410000,-0.167376385,-0.2151911282,
3546409000,-0.2324675545,-0.1317069823,
3552408000,-0.2631479233,-0.03013167149,
3558407000,-0.2548145264,0.07538108713,
3564406000,-0.2082804862,0.1708556715,
3570405000,-0.1314783217,0.2424373597,
3576404000,-0.03334736352,0.2811403393,
3582403000,0.07153960512,0.2827835322,
3588402000,0.1705097063,0.2465196753,
3594401000,0.2495320899,0.1775118942,
3600400000,0.2990682227,0.08484183645,
3606399000,0.3130844396,-0.01976126576,
3612398000,0.2887443886,-0.1224624291,
3618397000,0.2303010052,-0.2096402377,
3624396000,0.1441312827,-0.2719925373,
3630395000,0.04239452974,-0.2998850448,
3636394000,-0.06293066863,-0.288647391,
3642393000,-0.1576338799,-0.241671238,
3648392000,-0.2287156558,-0.164131111,
3654391000,-0.2673505119,-0.06758184977,
3660390000,-0.2678614867,0.03597353637,
3666389000,-0.2321979213,0.131995972,
3672388000,-0.164626808,0.2075082068,
3678387000,-0.07602602523,0.2535625291,
3684386000,0.02266668087,0.2644657802,
3690385000,0.117550213,0.239727318,
3696384000,0.196972803,0.1827222583,
3702383000,0.2506130567,0.1008076398,
3708382000,0.2714008695,0.005030479998,
3714381000,0.2565074148,-0.09162736792,
3720380000,0.2077758715,-0.1775549403,
3726379000,0.1299090554,-0.2403000535,
3732378000,0.03451007952,-0.2720237872,
3738377000,-0.06688807069,-0.2666354902,
3744376000,-0.160358541,-0.2250594871,
3750375000,-0.2329031024,-0.1522632773,
3756374000,-0.2745947569,-0.05726731101,
3762373000,-0.279879669,0.04525822193,
3768372000,-0.2476159464,0.1432006438,
3774371000,-0.183784381,0.22276217,
3780370000,-0.09633193142,0.2732935806,
3786369000,0.002605304492,0.290103211,
3792368000,0.1001113939,0.2711168002,
3798367000,0.1831367669,0.2194292206,
3804366000,0.242602375,0.1422615142,
3810365000,0.2703615559,0.04993887841,
3816364000,0.263917674,-0.04520410741,
3822363000,0.2234843637,-0.132012096,
3828362000,0.1559282592,-0.1982656672,
3834361000,0.06845598007,-0.235759175,
3840360000,-0.02679303229,-0.2391381655,
3846359000,-0.1163160266,-0.2074462131,
